"ID";"Inkomensbegrippen";"Inkomensklassen";"Geslacht";"KenmerkenVanPersonen";"Perioden";"GemiddeldInkomen_2"
"14738";"A043962";"T001226";"T001038";"10680  ";"2013JJ00";"0.9"
"14744";"A043962";"T001226";"T001038";"53050  ";"2013JJ00";"11.5"
"14750";"A043962";"T001226";"T001038";"53310  ";"2013JJ00";"41.4"
"14756";"A043962";"T001226";"T001038";"53715  ";"2013JJ00";"45.2"
"14762";"A043962";"T001226";"T001038";"80200  ";"2013JJ00";"22"
"14768";"A043962";"T001226";"T001038";"53500  ";"2013JJ00";"36.4"
"14774";"A043962";"T001226";"T001038";"53700  ";"2013JJ00";"45.8"
"14780";"A043962";"T001226";"T001038";"53800  ";"2013JJ00";"47.7"
"14786";"A043962";"T001226";"T001038";"53900  ";"2013JJ00";"42.2"
"14792";"A043962";"T001226";"T001038";"53925  ";"2013JJ00";"23.5"
"14798";"A043962";"T001226";"T001038";"53975  ";"2013JJ00";"19.8"
"14804";"A043962";"T001226";"T001038";"21800  ";"2013JJ00";"20.2"
